,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
29,1100601.0,Cacaulândia,11.0,RO,449.744,474.14814814814815,465.7962962962963,447.54400000000004,520.0
30,1100700.0,Campo Novo de Rondônia,11.0,RO,493.0235294117647,498.7722222222222,496.6388888888889,501.3529411764706,526.6666666666666
31,1100809.0,Candeias do Jamari,11.0,RO,444.3065217391304,475.4895833333333,485.02500000000003,456.58260869565214,522.0833333333334
32,1100908.0,Castanheiras,11.0,RO,459.625,469.175,455.2875,479.7625,577.5
33,1100924.0,Chupinguaia,11.0,RO,461.96785714285716,476.95,467.5857142857143,447.9428571428571,483.57142857142856
34,1100940.0,Cujubim,11.0,RO,447.15,462.85555555555555,449.64444444444445,442.7875,497.77777777777777
35,1101005.0,Governador Jorge Teixeira,11.0,RO,455.6764705882353,470.3243243243243,460.8837837837838,487.7617647058824,516.7567567567568
36,1101104.0,Itapuã do Oeste,11.0,RO,487.59999999999997,513.3,503.0466666666667,514.3357142857143,480.0
37,1101203.0,Ministro Andreazza,11.0,RO,433.8363636363636,455.77906976744185,448.4813953488372,434.35227272727275,498.13953488372096
38,1101302.0,Mirante da Serra,11.0,RO,464.8209302325581,492.22340425531917,477.1,505.43953488372097,646.3829787234042
39,1101401.0,Monte Negro,11.0,RO,464.50357142857143,448.2793103448276,460.9172413793104,472.51785714285717,537.2413793103449
40,1101435.0,Nova União,11.0,RO,454.68857142857144,473.4428571428571,457.4142857142857,475.7771428571429,638.2857142857143
41,1101450.0,Parecis,11.0,RO,491.6875,540.5,502.3125,550.0375,627.5
42,1101468.0,Pimenteiras do Oeste,11.0,RO,446.2,409.8,422.3666666666666,471.7,306.6666666666667
43,1101476.0,Primavera de Rondônia,11.0,RO,394.15,421.20000000000005,453.5,442.0,400.0
44,1101484.0,São Felipe D'Oeste,11.0,RO,467.3478260869565,473.02608695652174,466.41739130434786,452.9391304347826,606.9565217391304
45,1101492.0,São Francisco do Guaporé,11.0,RO,482.59999999999997,505.00392156862745,498.84313725490193,502.21458333333334,615.2941176470588
46,1101500.0,Seringueiras,11.0,RO,452.3205882352941,481.33235294117645,459.6294117647059,464.97058823529414,590.5882352941177
47,1101559.0,Teixeirópolis,11.0,RO,442.39285714285717,455.77333333333337,464.9,477.625,561.3333333333334
48,1101609.0,Theobroma,11.0,RO,508.83500000000004,496.95909090909095,505.83181818181816,499.70500000000004,473.6363636363636
49,1101708.0,Urupá,11.0,RO,472.2162162162162,498.427027027027,485.5810810810811,524.1378378378378,672.4324324324324
50,1101757.0,Vale do Anari,11.0,RO,442.64,471.33000000000004,464.34,445.53000000000003,576.0
51,1101807.0,Vale do Paraíso,11.0,RO,414.292,467.537037037037,444.5333333333333,423.88800000000003,472.5925925925926
52,1200013.0,Acrelândia,12.0,AC,476.3911764705882,474.4447368421053,481.5078947368421,486.8382352941176,536.8421052631579
53,1200054.0,Assis Brasil,12.0,AC,462.33750000000003,500.6125,494.55,455.3,437.5
54,1200104.0,Brasiléia,12.0,AC,458.6107692307692,467.6769230769231,471.03076923076924,469.8292307692308,513.3333333333334
55,1200138.0,Bujari,12.0,AC,424.35185185185185,466.3677419354839,460.7354838709677,420.61481481481485,478.06451612903226
56,1200179.0,Capixaba,12.0,AC,441.7882352941176,496.2611111111112,492.15000000000003,457.6117647058823,510.0
57,1200203.0,Cruzeiro do Sul,12.0,AC,460.15545851528384,490.5371369294606,492.4319502074689,488.7052401746725,606.6390041493776
58,1200252.0,Epitaciolândia,12.0,AC,448.63124999999997,472.9471428571429,481.7528571428571,470.371875,531.4285714285714
59,1200302.0,Feijó,12.0,AC,462.01875,448.9342105263158,474.14473684210526,492.825,447.89473684210526
60,1200328.0,Jordão,12.0,AC,446.59499999999997,456.5347826086956,465.3782608695652,448.805,450.4347826086956
61,1200336.0,Mâncio Lima,12.0,AC,438.7823529411765,449.44444444444446,462.5833333333333,451.92745098039217,544.074074074074
62,1200344.0,Manoel Urbano,12.0,AC,435.475,480.40000000000003,497.495652173913,453.805,520.0
63,1200351.0,Marechal Thaumaturgo,12.0,AC,441.0734693877551,483.72641509433964,469.41509433962267,443.97346938775513,548.6792452830189
64,1200385.0,Plácido de Castro,12.0,AC,453.17105263157896,456.72727272727275,484.775,470.321052631579,489.54545454545456
65,1200393.0,Porto Walter,12.0,AC,431.4380952380953,463.1217391304348,443.4086956521739,442.35238095238094,547.8260869565217
66,1200401.0,Rio Branco,12.0,AC,485.1539360393604,515.9765053128689,515.1714285714286,524.3657441574416,645.43093270366
67,1200427.0,Rodrigues Alves,12.0,AC,429.54318181818184,474.4413043478261,463.8152173913044,468.95909090909095,526.0869565217391
68,1200435.0,Santa Rosa do Purus,12.0,AC,413.275,374.91999999999996,434.43999999999994,389.25,292.0
69,1200450.0,Senador Guiomard,12.0,AC,450.69090909090914,475.73125,487.8104166666667,455.52272727272725,535.0
70,1200500.0,Sena Madureira,12.0,AC,461.0657894736842,482.12619047619046,495.527380952381,483.72631578947363,530.2380952380952
71,1200609.0,Tarauacá,12.0,AC,450.84188034188037,464.5060606060606,469.67575757575753,458.55384615384617,490.0
72,1200708.0,Xapuri,12.0,AC,462.5696428571428,492.2583333333333,492.4533333333333,497.95,549.0
73,1200807.0,Porto Acre,12.0,AC,470.8071428571429,504.4736842105263,484.60350877192985,479.1732142857143,506.6666666666667
74,1300029.0,Alvarães,13.0,AM,398.96666666666664,454.48461538461544,440.26410256410253,395.67499999999995,443.5897435897436
75,1300060.0,Amaturá,13.0,AM,419.25652173913045,428.4609375,448.3609375,415.31159420289856,459.0625
76,1300086.0,Anamã,13.0,AM,408.9589285714286,434.1613636363636,447.5318181818182,403.14285714285717,415.0
77,1300102.0,Anori,13.0,AM,433.4311688311688,447.4207317073171,454.96829268292686,445.4025974025974,512.1951219512196
78,1300144.0,Apuí,13.0,AM,461.6972222222222,467.05555555555554,478.2055555555556,489.83611111111105,487.77777777777777
79,1300201.0,Atalaia do Norte,13.0,AM,398.7828125,406.38382352941176,415.85441176470584,391.4375,367.6470588235294
80,1300300.0,Autazes,13.0,AM,450.9192982456141,459.8698113207547,458.4584905660377,419.0052631578947,471.6981132075472
